Stats,Last 3,Last 5,Season
Attacks - left flank,32,37.2,30.1
Attacks with shots - left flank,2,1.75,2.4
Attacks - center,24,25.4,22.5
Attacks with shots - center,2.6666666666666665,3.2,2.75
Attacks - right flank,26.666666666666668,28.6,29.4
Attacks with shots - right flank,2.5,2,2.142857142857143
Positional attacks,65,74.2,67.9
Positional attacks with shots,3.3333333333333335,4.2,4.111111111111111
Counter-attacks,17.666666666666668,17,14.1
Counter-attacks with a shot,2.3333333333333335,2,1.7142857142857142
Set pieces attacks,9.333333333333334,11.4,10.7
Attacks with shots - Set pieces attacks,2.6666666666666665,3.6,3.2
Free-kick attacks,4,4.8,5.2
Free-kick attacks with shots,1.6666666666666667,1.6,1.8
Corner attacks,4.5,4.25,3.2222222222222223
Corner attacks with shots,1,1.5,1.5
